model,mean_acc,std_acc
LogisticRegression,0.7619047619047619,0.10213147899774866
SVM_RBF,0.8342857142857143,0.12955181770005297
RandomForest,0.8590476190476191,0.06400113377680551
MLP,0.7914285714285715,0.11835608672690273
