sensillum
ab1A
ab1B
ab1C
ab1D
ab2A
ab2B
ab3A
ab3B
ab4A
ab4B
ab5A
ab5B
ab7A
ab7B
ab8A
ab8B
pb1A
pb1B
pb3A
pb3B
